Date,Close,High,Low,Open,Volume,year,month,day,lag_1,lag_2,lag_3,price_change,ma_7,ma_14,std_7
2021-06-10,989.8404541015624,1011.1517216348074,987.3692305170946,994.5561020859404,14155653,2021.0,6.0,10.0,986.2130126953124,1004.1688842773438,1009.9727172851562,3.62744140625,997.6394740513393,962.5811331612723,8.40696693098229
2021-06-11,1007.0098876953124,1013.766875641892,991.9717457006176,993.24581569042,13762778,2021.0,6.0,11.0,989.8404541015624,986.2130126953124,1004.1688842773438,17.16943359375,998.9100952148438,970.1992841448102,9.131805447474605
2021-06-14,1021.4564819335938,1027.530880407754,998.7741020157218,1007.851639479133,20332436,2021.0,6.0,14.0,1007.0098876953124,989.8404541015624,986.2130126953124,14.446594238281364,1001.7003871372768,979.5780639648438,12.550514000552303
2021-06-15,1023.7769775390624,1035.106763332947,1019.36334735504,1028.7821487449671,15174215,2021.0,6.0,15.0,1021.4564819335938,1007.0098876953124,989.8404541015624,2.3204956054686363,1006.0626307896206,988.8991176060268,14.304471542676001
2021-06-16,1006.3045654296876,1022.434740881434,1003.6882448935254,1021.456501659872,10797349,2021.0,6.0,16.0,1023.7769775390624,1021.4564819335938,1007.0098876953124,-17.472412109374773,1005.5386090959821,996.7761884416852,14.204195398490738
2021-06-17,1008.1473999023438,1016.9519142263862,991.8807422543712,1001.0264608448158,15745975,2021.0,6.0,17.0,1006.3045654296876,1023.7769775390624,1021.4564819335938,1.8428344726561363,1006.1069684709821,1000.9404384068081,14.219841878220397
2021-06-18,1012.697509765625,1016.9519117351164,993.9055193524756,1012.6292689125116,29369026,2021.0,6.0,18.0,1008.1473999023438,1006.3045654296876,1023.7769775390624,4.55010986328125,1009.8904680524554,1003.3082972935268,11.259700209305297
2021-06-21,1017.9755859375,1022.6394327555988,1001.0947014517697,1002.6189877915084,12186448,2021.0,6.0,21.0,1012.697509765625,1008.1473999023438,1006.3045654296876,5.278076171875,1013.9097726004464,1005.7746233258929,7.19916084528996
2021-06-22,1012.7430419921876,1028.782290874014,1009.8309507322008,1025.5971158370016,12871913,2021.0,6.0,22.0,1017.9755859375,1012.697509765625,1008.1473999023438,-5.232543945312386,1014.7287946428571,1006.8194449288504,6.583119449579688
2021-06-23,1003.4607543945312,1024.0499936427696,1001.7999261642768,1023.7770302436452,16653951,2021.0,6.0,23.0,1012.7430419921876,1017.9755859375,1012.697509765625,-9.282287597656364,1012.157976422991,1006.929181780134,7.017454199392063
2021-06-24,979.868408203125,1007.6696350296436,973.725768688106,1004.143316081599,91461975,2021.0,6.0,24.0,1003.4607543945312,1012.7430419921876,1017.9755859375,-23.59234619140625,1005.8853236607143,1005.9739772251675,12.434225621249443
2021-06-25,957.5499877929688,979.868355835384,946.9254774381874,979.868355835384,55355022,2021.0,6.0,25.0,979.868408203125,1003.4607543945312,1012.7430419921876,-22.31842041015625,998.9203839983259,1002.229496547154,22.076443097725804
2021-06-28,949.1550903320312,967.5830690553375,946.880034202098,965.535542609245,20277042,2021.0,6.0,28.0,957.5499877929688,979.868408203125,1003.4607543945312,-8.3948974609375,990.4929112025669,998.2999398367746,28.338744344740874
2021-06-29,949.97412109375,959.6203929887992,948.2906059997632,950.7476377872767,27144063,2021.0,6.0,29.0,949.1550903320312,957.5499877929688,979.868408203125,0.81903076171875,981.5324271065848,995.71144757952,30.01444878197515
2021-06-30,960.37109375,965.831204114812,951.4528452867432,953.8188890996876,19762858,2021.0,6.0,30.0,949.97412109375,949.1550903320312,957.5499877929688,10.39697265625,973.3032139369419,993.6064932686942,25.983524819354567
2021-07-01,954.5924682617188,966.058736162284,953.2501575281796,963.7154392931002,12534407,2021.0,7.0,1.0,960.37109375,949.97412109375,949.1550903320312,-5.77862548828125,964.9959891183036,989.8623918805804,19.842645361324735
